condition,shot,analyte,c_s0_scale,rmse,unnormalized_mass_sum,mass_ratio_vs_1x,max_share_delta_vs_1x
PRED-C01,PRED-E01-R2,trigonelline,0.01,0.021814294283110443,0.8082284687872202,0.009999998472679999,1.0404772096128667e-06
PRED-C01,PRED-E01-R2,trigonelline,0.1,0.021813972377861597,8.08228498999331,0.09999998846486506,3.3788433634329706e-07
PRED-C01,PRED-E01-R2,trigonelline,1.0,0.021813822214511853,80.82285922295897,1.0,0.0
PRED-C01,PRED-E01-R2,trigonelline,10.0,0.021813611380765822,808.2287535307537,10.000001995736918,4.5101474305253575e-07
PRED-C01,PRED-E01-R3,caffeine,0.001,0.005669109062763723,0.1565884255022265,0.0010000016072896742,9.518665409347093e-05
PRED-C01,PRED-E01-R3,caffeine,0.01,0.005707401415439452,1.565880569236873,0.009999992534813998,1.0104046795633703e-05
PRED-C01,PRED-E01-R3,caffeine,0.1,0.005704003242923215,15.658803669627162,0.09999991243055165,1.5739506586953667e-06
PRED-C01,PRED-E01-R3,caffeine,1.0,0.0057036828211782875,156.58817381967162,1.0,0.0
PRED-C01,PRED-E01-R3,caffeine,10.0,0.0057035943588776465,1565.8793825874188,9.999984956658986,7.942007858099953e-07
PRED-C01,PRED-E01-R3,trigonelline,0.001,0.007251233185446444,0.08644596399599551,0.001000003981955627,0.00015748460511383344
PRED-C01,PRED-E01-R3,trigonelline,0.01,0.007316576720385482,0.8644570775217991,0.01000001017735852,1.632125793227246e-05
PRED-C01,PRED-E01-R3,trigonelline,0.1,0.00731158018539051,8.64456337477638,0.10000001616552744,2.8329139508675993e-06
PRED-C01,PRED-E01-R3,trigonelline,1.0,0.007310502154692728,86.44561977337342,1.0,0.0
PRED-C01,PRED-E01-R3,trigonelline,10.0,0.007310214621714053,864.4564207986496,10.000002580407381,5.569982071684798e-07
PRED-C02,PRED-E02-R1,caffeine,0.001,0.008089852427192148,0.15029102051976564,0.0010000005435516638,6.239942816760324e-05
PRED-C02,PRED-E02-R1,caffeine,0.01,0.008104173571499977,1.5029052815423631,0.009999972674690659,2.1322740415441466e-05
PRED-C02,PRED-E02-R1,caffeine,0.1,0.008112026598764666,15.029066507991264,0.09999981785398022,4.376384800386379e-06
PRED-C02,PRED-E02-R1,caffeine,1.0,0.00811048223942923,150.2909388288758,1.0,0.0
PRED-C02,PRED-E02-R1,caffeine,10.0,0.008110536581874783,1502.907220783403,9.99998557793722,1.2844967563901966e-06
PRED-C02,PRED-E02-R1,trigonelline,0.001,0.013741744866128787,0.08141884500447583,0.0010000024573474321,8.320312134935115e-05
PRED-C02,PRED-E02-R1,trigonelline,0.01,0.013754153839513035,0.814186261855464,0.009999997697697941,1.2543092865580086e-05
PRED-C02,PRED-E02-R1,trigonelline,0.1,0.013756679454533531,8.14186772772166,0.10000003972878552,5.994762670824549e-06
PRED-C02,PRED-E02-R1,trigonelline,1.0,0.013755848024439521,81.41864493057778,1.0,0.0
PRED-C02,PRED-E02-R1,trigonelline,10.0,0.013755760034155785,814.1867541774632,10.00000374449471,8.12103905456496e-07
PRED-C02,PRED-E02-R2,caffeine,0.001,0.007590514201783356,0.1519767245967874,0.000999999482219357,3.03951758838239e-05
PRED-C02,PRED-E02-R2,caffeine,0.01,0.007601660567949303,1.5197632123184734,0.009999968280976006,2.9670804529924322e-05
PRED-C02,PRED-E02-R2,caffeine,0.1,0.007595987639668013,15.197648269119465,0.09999978904922807,1.5997681760276938e-06
PRED-C02,PRED-E02-R2,caffeine,1.0,0.007595745706960275,151.97680328743434,1.0,0.0
PRED-C02,PRED-E02-R2,caffeine,10.0,0.007595977267589724,1519.7655702574582,9.999983796100247,1.4491009985712067e-06
PRED-C02,PRED-E02-R2,trigonelline,0.001,0.010293817212493459,0.08272268253485243,0.0010000024020326796,4.580255954717005e-05
PRED-C02,PRED-E02-R2,trigonelline,0.01,0.010298387873659389,0.8272239303715416,0.00999998902407368,3.0750288302627826e-05
PRED-C02,PRED-E02-R2,trigonelline,0.1,0.010296393551635469,8.272249025527039,0.10000000776394417,5.54846403988396e-07
PRED-C02,PRED-E02-R2,trigonelline,1.0,0.010296415694109407,82.72248383274292,1.0,0.0
PRED-C02,PRED-E02-R2,trigonelline,10.0,0.010296429741343482,827.2250276511812,10.000002288661355,9.124104679292255e-07
PRED-C02,PRED-E02-R3,caffeine,0.001,0.007328939225210015,0.15387948202077498,0.0009999993458849276,5.58773296088777e-06
PRED-C02,PRED-E02-R3,caffeine,0.01,0.007329695849989212,1.5387912790948313,0.009999970446615573,1.8635981942766167e-06
PRED-C02,PRED-E02-R3,caffeine,0.1,0.007329382086016154,15.387929223583818,0.09999981125508263,1.480192253447421e-06
PRED-C02,PRED-E02-R3,caffeine,1.0,0.007329265723567979,153.87958267572935,1.0,0.0
PRED-C02,PRED-E02-R3,caffeine,10.0,0.007329402556315401,1538.7933706053059,9.999984038480317,1.425869618029707e-06
PRED-C02,PRED-E02-R3,trigonelline,0.001,0.01118092109278023,0.0839800656738404,0.0010000010754711752,9.355149328094114e-06
PRED-C02,PRED-E02-R3,trigonelline,0.01,0.01118237494639117,0.8397990900193639,0.009999992098847261,3.5092055479801765e-06
PRED-C02,PRED-E02-R3,trigonelline,0.1,0.01118230984751083,8.397998974803022,0.10000001713769567,4.3366504048902854e-07
PRED-C02,PRED-E02-R3,trigonelline,1.0,0.011182422230339155,83.97997535579762,1.0,0.0
PRED-C02,PRED-E02-R3,trigonelline,10.0,0.011182311285508456,839.7999640438885,10.000002506382163,8.499739073963841e-07
PRED-C05,PRED-E05-R1,caffeine,0.001,0.012705694524878498,0.14675940193631823,0.0009999990252774734,1.95691060531078e-06
PRED-C05,PRED-E05-R1,caffeine,0.01,0.012705588479702575,1.4675922834159865,0.009999978424261665,1.8231828259468452e-06
PRED-C05,PRED-E05-R1,caffeine,0.1,0.012705573791593624,14.67594060189268,0.09999990530958247,2.1321681120123337e-06
PRED-C05,PRED-E05-R1,caffeine,1.0,0.012705173484367853,146.75954498615272,1.0,0.0
PRED-C05,PRED-E05-R1,caffeine,10.0,0.0127054377378064,1467.5932242963386,9.999984835295116,1.7146712212728898e-06
PRED-C05,PRED-E05-R1,trigonelline,0.001,0.017688415535012384,0.08135382478265908,0.0009999995140587998,1.2961809620452847e-06
PRED-C05,PRED-E05-R1,trigonelline,0.01,0.01768791779009257,0.8135388903076062,0.01000000303795121,4.065440316752822e-07
PRED-C05,PRED-E05-R1,trigonelline,0.1,0.017688178992933984,8.13537169803913,0.0999998188955577,9.394604189652545e-07
PRED-C05,PRED-E05-R1,trigonelline,1.0,0.01768798001393038,81.35386431585356,1.0,0.0
PRED-C05,PRED-E05-R1,trigonelline,10.0,0.01768814950990169,813.5376745814692,9.999988094270941,8.764790236370779e-07
PRED-C05,PRED-E05-R2,caffeine,0.001,0.007284135924721391,0.16080826455102645,0.001000001823258686,1.6491358192163852e-06
PRED-C05,PRED-E05-R2,caffeine,0.01,0.0072834172764371635,1.608085796891914,0.010000037829759953,1.8797152304579623e-06
PRED-C05,PRED-E05-R2,caffeine,0.1,0.007284236689551331,16.080811396061986,0.10000008867976055,1.68402475367313e-06
PRED-C05,PRED-E05-R2,caffeine,1.0,0.007284695262595945,160.8079713564959,1.0,0.0
PRED-C05,PRED-E05-R2,caffeine,10.0,0.00728394752664258,1608.0823471374692,10.00001637712663,1.3530895380600705e-06
PRED-C05,PRED-E05-R2,trigonelline,0.001,0.01446401507655119,0.0875909035701885,0.0010000025878162291,1.3729017924388187e-06
PRED-C05,PRED-E05-R2,trigonelline,0.01,0.014464538182413006,0.8759068300041996,0.01000000069628491,4.064028839081968e-07
PRED-C05,PRED-E05-R2,trigonelline,0.1,0.014463939565084653,8.759087279003884,0.10000022364072579,1.419173866867851e-06
PRED-C05,PRED-E05-R2,trigonelline,1.0,0.01446452475425546,87.59067690161329,1.0,0.0
PRED-C05,PRED-E05-R2,trigonelline,10.0,0.014464155822939492,875.9076301788558,10.000009831671056,8.372790906048533e-07
PRED-C05,PRED-E05-R3,caffeine,0.001,0.007882677005138495,0.1503143274080647,0.001000000302795169,2.99124936775641e-06
PRED-C05,PRED-E05-R3,caffeine,0.01,0.007885202367508826,1.50314004566689,0.00999998155019378,7.682182379842306e-06
PRED-C05,PRED-E05-R3,caffeine,0.1,0.007883503144757213,15.031417732668999,0.0999999304344637,1.3709094946329214e-06
PRED-C05,PRED-E05-R3,caffeine,1.0,0.007883241757916172,150.31428189362632,1.0,0.0
PRED-C05,PRED-E05-R3,caffeine,10.0,0.00788328870930167,1503.1416934457143,9.999992512417752,1.1527022972177003e-06
PRED-C05,PRED-E05-R3,trigonelline,0.001,0.009541040631650498,0.08280281448010235,0.001000001953776051,1.4073114357582295e-05
PRED-C05,PRED-E05-R3,trigonelline,0.01,0.00954676507890046,0.828026084404867,0.009999994654546153,1.7340170098911756e-05
PRED-C05,PRED-E05-R3,trigonelline,0.1,0.009543709703861201,8.280276538573172,0.10000013608678647,1.3355053134211925e-06
PRED-C05,PRED-E05-R3,trigonelline,1.0,0.009543701041679174,82.80265270226255,1.0,0.0
PRED-C05,PRED-E05-R3,trigonelline,10.0,0.009543922510168393,828.0257217506569,9.999990274804704,7.900362778076597e-07
PRED-C06,PRED-E06-R1,caffeine,0.001,0.010109864386784219,0.16155854383998663,0.0010000009520207275,1.641336459787257e-06
PRED-C06,PRED-E06-R1,caffeine,0.01,0.010112990445960937,1.6155809671735752,0.00999998184460163,6.2884691642839385e-06
PRED-C06,PRED-E06-R1,caffeine,0.1,0.010109978074129014,16.155800375499155,0.09999976090498364,2.0999935274462755e-06
PRED-C06,PRED-E06-R1,caffeine,1.0,0.010110101090028028,161.55839003305064,1.0,0.0
PRED-C06,PRED-E06-R1,caffeine,10.0,0.010110129586252148,1615.583104608892,9.99999507471191,1.613490942867224e-06
PRED-C06,PRED-E06-R1,trigonelline,0.001,0.010894888941962574,0.0880967800918143,0.0010000021212064486,4.132897772346489e-06
PRED-C06,PRED-E06-R1,trigonelline,0.01,0.010899660668241076,0.8809682977726334,0.01000002685194762,7.747736199936739e-06
PRED-C06,PRED-E06-R1,trigonelline,0.1,0.010896377763039963,8.80965338187868,0.09999993257177867,1.2170009439649299e-06
PRED-C06,PRED-E06-R1,trigonelline,1.0,0.010896671030642615,88.09659322075267,1.0,0.0
PRED-C06,PRED-E06-R1,trigonelline,10.0,0.010896424498646053,880.9662945651575,10.000004113185511,8.706760797339008e-07
PRED-C06,PRED-E06-R2,caffeine,0.001,0.008341136371547158,0.16390517449222014,0.001000003396338226,3.001924071777129e-05
PRED-C06,PRED-E06-R2,caffeine,0.01,0.008342189083921725,1.6390441095505526,0.009999987379144731,1.6420568620667542e-06
PRED-C06,PRED-E06-R2,caffeine,0.1,0.00834201943747761,16.39044273291869,0.09999988378148411,1.3649163814882792e-06
PRED-C06,PRED-E06-R2,caffeine,1.0,0.008341735569865916,163.9046178167012,1.0,0.0
PRED-C06,PRED-E06-R2,caffeine,10.0,0.008341997662163104,1639.045395856565,9.999995227038399,1.0031688915390635e-06
PRED-C06,PRED-E06-R2,trigonelline,0.001,0.01583786211198863,0.0887087484049242,0.0010000020301497636,1.517838243375591e-05
PRED-C06,PRED-E06-R2,trigonelline,0.01,0.01583639464612147,0.8870877079803188,0.010000022825843153,1.286095364649853e-06
PRED-C06,PRED-E06-R2,trigonelline,0.1,0.015836856687898897,8.870858989339261,0.10000002432701577,1.962063024274485e-06
PRED-C06,PRED-E06-R2,trigonelline,1.0,0.01583674902886977,88.70856831324521,1.0,0.0
PRED-C06,PRED-E06-R2,trigonelline,10.0,0.01583648695405852,887.0861399965537,10.000005150168809,8.34667075705342e-07
PRED-C06,PRED-E06-R3,caffeine,0.001,0.0058081890283851025,0.15705147935189145,0.0010000026318529114,1.5745129674088476e-06
PRED-C06,PRED-E06-R3,caffeine,0.01,0.005808984620043401,1.5705093230793077,0.009999991486294317,1.2844064509742736e-06
PRED-C06,PRED-E06-R3,caffeine,0.1,0.00580892470913553,15.705092720359865,0.09999991161283334,9.807960073410227e-07
PRED-C06,PRED-E06-R3,caffeine,1.0,0.005808755771700302,157.0510660165861,1.0,0.0
PRED-C06,PRED-E06-R3,caffeine,10.0,0.005808820916260037,1570.5108374676067,10.00000112894328,6.288346693916758e-07
PRED-C06,PRED-E06-R3,trigonelline,0.001,0.011685500628262655,0.08499144140717614,0.001000001123420043,3.009575650286811e-05
PRED-C06,PRED-E06-R3,trigonelline,0.01,0.011694206054076972,0.849915143406006,0.010000019815476989,2.7823125983705843e-06
PRED-C06,PRED-E06-R3,trigonelline,0.1,0.011695012370090204,8.499137981004433,0.10000003986741156,2.1172219962783956e-06
PRED-C06,PRED-E06-R3,trigonelline,1.0,0.011695059757219049,84.99134592619465,1.0,0.0
PRED-C06,PRED-E06-R3,trigonelline,10.0,0.01169497469434457,849.9138963164927,10.000005142341745,8.557458275326724e-07
