condition_id,shot_id,physical_replicate_id,mass_fit_source_index,join_class,evidence_fields,candidate_count,uniqueness_result,qualification_result,failure_reason,source_hashes,source_id,rights,target_exposure
PRED-C04,PRED-E04-R2,2,11,EXPLICIT_SOURCE_CODE_MAPPING,"released loop i*3-3+j; copied a,b,flow,time",1,UNIQUE_BY_EXPLICIT_INDEX,PASS,,b5fb0245e5cb67cf3191127f6058624243a38fc0031344f8c93344bb95a84d64;430f922d0df443d9f1b1d629409d9ef4a4967d15535ffa8b5a34f795523faaf3,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C04,PRED-E04-R3,3,12,EXPLICIT_SOURCE_CODE_MAPPING,"released loop i*3-3+j; copied a,b,flow,time",1,UNIQUE_BY_EXPLICIT_INDEX,PASS,,b5fb0245e5cb67cf3191127f6058624243a38fc0031344f8c93344bb95a84d64;430f922d0df443d9f1b1d629409d9ef4a4967d15535ffa8b5a34f795523faaf3,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C05,PRED-E05-R1,1,13,EXPLICIT_SOURCE_CODE_MAPPING,"released loop i*3-3+j; copied a,b,flow,time",1,UNIQUE_BY_EXPLICIT_INDEX,PASS,,b5fb0245e5cb67cf3191127f6058624243a38fc0031344f8c93344bb95a84d64;430f922d0df443d9f1b1d629409d9ef4a4967d15535ffa8b5a34f795523faaf3,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C05,PRED-E05-R2,2,14,EXPLICIT_SOURCE_CODE_MAPPING,"released loop i*3-3+j; copied a,b,flow,time",1,UNIQUE_BY_EXPLICIT_INDEX,PASS,,b5fb0245e5cb67cf3191127f6058624243a38fc0031344f8c93344bb95a84d64;430f922d0df443d9f1b1d629409d9ef4a4967d15535ffa8b5a34f795523faaf3,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C05,PRED-E05-R3,3,15,EXPLICIT_SOURCE_CODE_MAPPING,"released loop i*3-3+j; copied a,b,flow,time",1,UNIQUE_BY_EXPLICIT_INDEX,PASS,,b5fb0245e5cb67cf3191127f6058624243a38fc0031344f8c93344bb95a84d64;430f922d0df443d9f1b1d629409d9ef4a4967d15535ffa8b5a34f795523faaf3,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C06,PRED-E06-R1,1,16,EXPLICIT_SOURCE_CODE_MAPPING,"released loop i*3-3+j; copied a,b,flow,time",1,UNIQUE_BY_EXPLICIT_INDEX,PASS,,b5fb0245e5cb67cf3191127f6058624243a38fc0031344f8c93344bb95a84d64;430f922d0df443d9f1b1d629409d9ef4a4967d15535ffa8b5a34f795523faaf3,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C06,PRED-E06-R2,2,17,EXPLICIT_SOURCE_CODE_MAPPING,"released loop i*3-3+j; copied a,b,flow,time",1,UNIQUE_BY_EXPLICIT_INDEX,PASS,,b5fb0245e5cb67cf3191127f6058624243a38fc0031344f8c93344bb95a84d64;430f922d0df443d9f1b1d629409d9ef4a4967d15535ffa8b5a34f795523faaf3,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C06,PRED-E06-R3,3,18,EXPLICIT_SOURCE_CODE_MAPPING,"released loop i*3-3+j; copied a,b,flow,time",1,UNIQUE_BY_EXPLICIT_INDEX,PASS,,b5fb0245e5cb67cf3191127f6058624243a38fc0031344f8c93344bb95a84d64;430f922d0df443d9f1b1d629409d9ef4a4967d15535ffa8b5a34f795523faaf3,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C07,PRED-E07-R1,1,19,EXPLICIT_SOURCE_CODE_MAPPING,"released loop i*3-3+j; copied a,b,flow,time",1,UNIQUE_BY_EXPLICIT_INDEX,PASS,,b5fb0245e5cb67cf3191127f6058624243a38fc0031344f8c93344bb95a84d64;430f922d0df443d9f1b1d629409d9ef4a4967d15535ffa8b5a34f795523faaf3,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C07,PRED-E07-R2,2,20,EXPLICIT_SOURCE_CODE_MAPPING,"released loop i*3-3+j; copied a,b,flow,time",1,UNIQUE_BY_EXPLICIT_INDEX,PASS,,b5fb0245e5cb67cf3191127f6058624243a38fc0031344f8c93344bb95a84d64;430f922d0df443d9f1b1d629409d9ef4a4967d15535ffa8b5a34f795523faaf3,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C07,PRED-E07-R3,3,21,EXPLICIT_SOURCE_CODE_MAPPING,"released loop i*3-3+j; copied a,b,flow,time",1,UNIQUE_BY_EXPLICIT_INDEX,PASS,,b5fb0245e5cb67cf3191127f6058624243a38fc0031344f8c93344bb95a84d64;430f922d0df443d9f1b1d629409d9ef4a4967d15535ffa8b5a34f795523faaf3,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C08,PRED-E08-R1,1,22,EXPLICIT_SOURCE_CODE_MAPPING,"released loop i*3-3+j; copied a,b,flow,time",1,UNIQUE_BY_EXPLICIT_INDEX,PASS,,b5fb0245e5cb67cf3191127f6058624243a38fc0031344f8c93344bb95a84d64;430f922d0df443d9f1b1d629409d9ef4a4967d15535ffa8b5a34f795523faaf3,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C08,PRED-E08-R2,2,23,EXPLICIT_SOURCE_CODE_MAPPING,"released loop i*3-3+j; copied a,b,flow,time",1,UNIQUE_BY_EXPLICIT_INDEX,PASS,,b5fb0245e5cb67cf3191127f6058624243a38fc0031344f8c93344bb95a84d64;430f922d0df443d9f1b1d629409d9ef4a4967d15535ffa8b5a34f795523faaf3,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C08,PRED-E08-R3,3,24,EXPLICIT_SOURCE_CODE_MAPPING,"released loop i*3-3+j; copied a,b,flow,time",1,UNIQUE_BY_EXPLICIT_INDEX,PASS,,b5fb0245e5cb67cf3191127f6058624243a38fc0031344f8c93344bb95a84d64;430f922d0df443d9f1b1d629409d9ef4a4967d15535ffa8b5a34f795523faaf3,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
