family_id,source_registration,manifest_dataset_ids,model_chain_stages,strongest_current_uses,raw_access_status,rights_access_summary,last_qualified_task,potentially_matching_canonical_quantity_ids,match_basis,screening_disposition,terminal_reason,detailed_support_record_count
gagne2021,AVAILABLE_DATA_REGISTER:GAGNE2021,"[""gagne2021/grinder_arm_summary"", ""gagne2021/shots"", ""gagne2021/resistance_decline_summary""]","[""hydraulics"", ""bed_structure""]","[""arms the kappa(t)-vs-viscosity-decline discrimination (needs the .shot traces, an acquisition target); grinder-contrast observable""]",PACKAGED_IN_REPOSITORY,"[""J. Gagne, Coffee Ad Astra / Patreon (2021); no DOI, not peer-reviewed; 11 .shot files published alongside"", ""J. Gagne, Coffee Ad Astra (2021); .shot files published alongside the post; no explicit licence (blog); not peer-reviewed"", ""J. Gagne, Coffee Ad Astra (2021); derived summary of the published .shot files; not peer-reviewed""]",PANNUSCH-PRIOR-IMPACT-001,"[""EWP_INLET_PRESSURE_BOUNDARY"", ""EWP_FIXED_HYDRAULIC_RESISTANCE_FORM""]",registered machine-boundary/resistance evidence,MATCHED_BUT_UNQUALIFIED_SUCCESSOR_ONLY,NO_COMPLETED_EWP_COMPONENT_QUALIFICATION,1
gloess2013,AVAILABLE_DATA_REGISTER:GLOESS2013,"[""gloess2013/de_espresso_endpoint""]","[""sensory"", ""chemistry""]","[""no gate -- low-priority cross-check anchor only (EY ~20% at TDS ~5.5% sits below cameron2020's 29.6% inventory ceiling)""]",PACKAGED_IN_REPOSITORY,"[""CC-BY (open access; Eur. Food Res. Technol. 236:607-627; DOI 10.1007/s00217-013-1917-x)""]",PANNUSCH-PRIOR-IMPACT-001,[],"explicit review of registered stages, strongest-current-use, dataset identity, and register limitations found no definition-preserving mapping to a frozen canonical EWP quantity",EXCLUDED_NO_MATCHING_CANONICAL_QUANTITY,REVIEWED_NO_CANONICAL_MAPPING_AFTER_EXACT_REGISTER_AND_SOURCE_CARD_SCREEN,0
grudeva2025,AVAILABLE_DATA_REGISTER:GRUDEVA2025,"[""grudeva2025/params"", ""grudeva2025/exp13_vial_stats""]","[""extraction"", ""transport""]","[""item 1.7b: two named configs; adjudicated kappa/P_app""]",PACKAGED_IN_REPOSITORY,"[""thesis + EJAM CC-BY (DOI 10.1017/S095679252500018X)"", ""reference repo declares no SPDX license; DIRECT WRITTEN PERMISSION from Dr. Yoana Grudeva 2026-08-14 (LinkedIn) covering code and data - full evidence retained privately (docs/permissions/grudeva2025.md; #73); paper CC-BY is a separate record""]",PANNUSCH-PRIOR-IMPACT-001,"[""EWP_EFFECTIVE_SATURATED_PERMEABILITY""]",registered adjudicated kappa/P_app model parameters; source model role is not a measured EWP prior,MATCHED_BUT_UNQUALIFIED_SUCCESSOR_ONLY,MODEL_PARAMETERS_REQUIRE_NEW_COMPONENT_INVESTIGATION_AND_QUALIFIED_TRANSFER,0
hargarten2020,AVAILABLE_DATA_REGISTER:HARGARTEN2020,"[""hargarten2020/swelling_progress"", ""hargarten2020/scalar_anchors""]","[""source_material"", ""chemistry""]","[""DATA-ONLY empirical anchor for the (not-yet-open) bed_dynamics swelling/erosion backlog; NOT a registered component""]",PACKAGED_IN_REPOSITORY,"[""CC BY-NC (JSFA, open access); PSD/single-particle figures NOT digitized (owed)"", ""CC BY-NC (JSFA)""]",PANNUSCH-PRIOR-IMPACT-001,"[""EWP_INITIAL_DRY_POROSITY""]",registered compaction/bed-structure evidence,MATCHED_BUT_UNQUALIFIED_SUCCESSOR_ONLY,NO_ACCEPTED_CANONICAL_POROSITY_MAPPING,1
khamitova2020,AVAILABLE_DATA_REGISTER:KHAMITOVA2020,"[""khamitova2020/tamping""]","[""source_material"", ""chemistry""]","[""weak-effect reference (tamping ~ null on per-species concentration at fixed 1:2 ratio); multi-compound espresso chemistry beside pannusch/schmieder""]",PACKAGED_IN_REPOSITORY,"[""Khamitova PhD dissertation, University of Camerino (2020); no DOI""]",PANNUSCH-PRIOR-IMPACT-001,[],"explicit review of registered stages, strongest-current-use, dataset identity, and register limitations found no definition-preserving mapping to a frozen canonical EWP quantity",EXCLUDED_NO_MATCHING_CANONICAL_QUANTITY,REVIEWED_NO_CANONICAL_MAPPING_AFTER_EXACT_REGISTER_AND_SOURCE_CARD_SCREEN,0
liang2021,AVAILABLE_DATA_REGISTER:LIANG2021,"[""liang2021/fig3_tds"", ""liang2021/fig4_E"", ""liang2021/fig5_cupping""]","[""extraction"", ""transport""]","[""item 1.3: refit K*E_max (Eq 11, R_brew>=3)""]",PACKAGED_IN_REPOSITORY,"[""open access (DOI 10.1038/s41598-021-85787-1)""]",PANNUSCH-PRIOR-IMPACT-001,[],"explicit review of registered stages, strongest-current-use, dataset identity, and register limitations found no definition-preserving mapping to a frozen canonical EWP quantity",EXCLUDED_NO_MATCHING_CANONICAL_QUANTITY,REVIEWED_NO_CANONICAL_MAPPING_AFTER_EXACT_REGISTER_AND_SOURCE_CARD_SCREEN,0
maille2024,AVAILABLE_DATA_REGISTER:MAILLE2024,"[""maille2024/materials"", ""maille2024/phi"", ""maille2024/psd_hybrid"", ""maille2024/psd_dispersion"", ""maille2024/kinetics_caffeine_3cqa"", ""maille2024/kinetics_organic_acids"", ""maille2024/equilibrium_concentrations"", ""maille2024/normalized_curves"", ""maille2024/ssa"", ""maille2024/particle_porosity"", ""maille2024/extraction_curves""]","[""bed_structure"", ""hydraulics""]","[""material legend for all maille datasets (Sample ID -> roast, sieve class)""]",PACKAGED_IN_REPOSITORY,"[""Maille PhD thesis, U. Sheffield 2024 (unredacted tables); White Rose eTheses; digitized 2026-07-25"", ""Maille PhD thesis, U. Sheffield 2024; White Rose eTheses; figures digitized 2026-07-25""]",PANNUSCH-PRIOR-IMPACT-001,"[""EWP_INITIAL_DRY_POROSITY""]",registered bed-structure/porosity use; no completed EWP component qualification,MATCHED_BUT_UNQUALIFIED_SUCCESSOR_ONLY,REQUIRES_NEW_COMPONENT_INVESTIGATION,1
mckeonaloe2022,AVAILABLE_DATA_REGISTER:MCKEONALOE2022,"[""mckeonaloe2022/basket_open_area_geometry""]","[""source_material"", ""sensory""]","[""G9 exit-boundary geometry seed (complements schulman2011 multi-brand table); orifice open-area reference""]",PACKAGED_IN_REPOSITORY,"[""R. McKeon Aloe, Medium / Coffee Data Science (2022); non-peer-reviewed; no DOI""]",PANNUSCH-PRIOR-IMPACT-001,"[""EWP_INITIAL_DRY_POROSITY""]",registered density and bed-structure context,EXCLUDED_REQUIRES_NEW_COMPONENT_INVESTIGATION,DENSITY_TO_POROSITY_MAPPING_IS_NOT_ALREADY_QUALIFIED,0
mo2023,AVAILABLE_DATA_REGISTER:MO2023,"[""mo2023/forchheimer"", ""mo2023/fig8a""]","[""bed_structure"", ""hydraulics""]","[""1.1 \u00a75.2 Mo Re overlay; P6 Forchheimer priors""]",PACKAGED_IN_REPOSITORY,"[""preprint arXiv:2305.03911 (no journal DOI)"", ""preprint arXiv:2305.03911""]",PANNUSCH-PRIOR-IMPACT-001,"[""EWP_EFFECTIVE_SATURATED_PERMEABILITY""]",registered Darcy/Forchheimer hydraulic evidence,MATCHED_STRESS_OR_SHAPE_ONLY,DIFFERENT_MEDIUM_OR_UNQUALIFIED_TRANSFER,1
mo2023_2,AVAILABLE_DATA_REGISTER:MO2023_2,"[""mo2023_2/granulometry_table1"", ""mo2023_2/k0_table2"", ""mo2023_2/yield_strength_figs6_9"", ""mo2023_2/fig3a_qdecay"", ""mo2023_2/fig6_Ksweep_typeM"", ""mo2023_2/sim_lines_figs7_9""]","[""bed_structure"", ""hydraulics"", ""extraction""]","[""Carman-Kozeny k0 input; 3.1""]",PACKAGED_IN_REPOSITORY,"[""Elsevier, J. Food Eng. 2023 DOI 10.1016/j.jfoodeng.2023.111843 (paywalled); no code/data published""]",PANNUSCH-PRIOR-IMPACT-001,"[""EWP_EFFECTIVE_SATURATED_PERMEABILITY""]",registered pressure-drop/flow hydraulic evidence,MATCHED_STRESS_OR_SHAPE_ONLY,UNQUALIFIED_EWP_TRANSFER,1
moroney2015,AVAILABLE_DATA_REGISTER:MORONEY2015,"[""moroney2015/data""]","[""extraction"", ""transport""]","[""primary-source provenance for moroney2016/moroney2019/cooper2021 parameters; a permeability anchor + bed-depth scaling (Fig 11) and the pressure-invariance result (Fig 12); fine+coarse extraction curves; measured kappa=3.1 and c_sat=212.4 cross-checks""]",PACKAGED_IN_REPOSITORY,"[""Moroney et al. 2015, Chemical Engineering Science (Elsevier); DOI 10.1016/j.ces.2015.06.003; digitized/transcribed by Puckworks""]",PANNUSCH-PRIOR-IMPACT-001,"[""EWP_EFFECTIVE_SATURATED_PERMEABILITY"", ""EWP_FIXED_HYDRAULIC_RESISTANCE_FORM""]",registered espresso transport-model pressure-flow context,EXCLUDED_REQUIRES_NEW_COMPONENT_INVESTIGATION,MODEL_OUTPUT_REQUIRES_SEPARATE_QUALIFICATION_AND_NO_EXISTING_TRANSFER,0
moroney2016,AVAILABLE_DATA_REGISTER:MORONEY2016,"[""moroney2016/table1"", ""moroney2016/fig6""]","[""extraction"", ""transport""]","[""item 1.4: surrogate parameters (a2=5.139, a3=0.473, eps=0.127)""]",PACKAGED_IN_REPOSITORY,"[""paper (DOI 10.1137/15M1036658)""]",PANNUSCH-PRIOR-IMPACT-001,[],"explicit review of registered stages, strongest-current-use, dataset identity, and register limitations found no definition-preserving mapping to a frozen canonical EWP quantity",EXCLUDED_NO_MATCHING_CANONICAL_QUANTITY,REVIEWED_NO_CANONICAL_MAPPING_AFTER_EXACT_REGISTER_AND_SOURCE_CARD_SCREEN,0
moroney2019,AVAILABLE_DATA_REGISTER:MORONEY2019,"[""moroney2019/table2""]","[""extraction"", ""transport""]","[""transcription-check target (reproduce 1-D two-grain c_exit RMSE 5.81/6.23 kg m^-3 from CORRECTED h_sl); two Delta-p permeability cross-check anchors""]",PACKAGED_IN_REPOSITORY,"[""Moroney et al. 2019 PLoS ONE (CC BY 4.0); cooper2021 Quantitative Cafe blog (errata, author-confirmed)""]",PANNUSCH-PRIOR-IMPACT-001,"[""EWP_EFFECTIVE_SATURATED_PERMEABILITY""]",registered porous-bed hydraulic model context,MATCHED_STRESS_OR_SHAPE_ONLY,NO_QUALIFIED_EFFECTIVE_PARAMETER_TRANSFER,1
pannusch2024,AVAILABLE_DATA_REGISTER:PANNUSCH2024,"[""pannusch2024/table2_params"", ""pannusch2024/experimental_kinetics""]","[""extraction"", ""chemistry""]","[""source reconstruction"", ""replicate analysis"", ""source-internal campaign-separated comparison"", ""programmed-flow contrast"", ""source-apparatus variance planning""]",EXTERNAL_RECOVERED_LOCAL_CORPUS,"[""CC-BY-NC-3.0 (Mendeley 10.17632/y2tz67f6ry.1) / paper CC-BY"", ""CC-BY-NC-3.0 (Mendeley 10.17632/y2tz67f6ry.1)""]",PANNUSCH-PRIOR-IMPACT-001,[],accepted complete Pannusch-to-EWP mapping audit,EXCLUDED_ALREADY_EXHAUSTED_FOR_NAMED_DECISION,ZERO_OPERATIONALLY_QUALIFIED_EWP_MAPPINGS,1
perticarini2024,AVAILABLE_DATA_REGISTER:PERTICARINI2024,"[""perticarini2024/ey_tds_cibao"", ""perticarini2024/bed_height_time"", ""perticarini2024/granulometry_params""]","[""source_material"", ""sensory""]","[""NONE YET -- held for the multi-class extraction backlog; no component consumes it (perticarini2024 verdict is implement-later)""]",PACKAGED_IN_REPOSITORY,"[""Universita degli Studi di Camerino PhD thesis (Perticarini 2024), deposited 28 Feb 2024; no DOI, no explicit licence stated -- transcribed table values only, under academic quotation; no code or figures reproduced""]",PANNUSCH-PRIOR-IMPACT-001,[],"explicit review of registered stages, strongest-current-use, dataset identity, and register limitations found no definition-preserving mapping to a frozen canonical EWP quantity",EXCLUDED_NO_MATCHING_CANONICAL_QUANTITY,REVIEWED_NO_CANONICAL_MAPPING_AFTER_EXACT_REGISTER_AND_SOURCE_CARD_SCREEN,0
pocketscience2024,AVAILABLE_DATA_REGISTER:POCKETSCIENCE2024,"[""pocketscience2024/edge_ey_condition_means"", ""pocketscience2024/lrr_scalars""]","[""machine_boundary"", ""hydraulics""]","[""offline validation target for a future radial two-zone bed_dynamics/extraction variant (reproduce edge-loss SIGN structure); prior-shaping caution for brewer2026.streamtube sigma""]",PACKAGED_IN_REPOSITORY,"[""used with author's permission (attribution/citation pocketscience2024 required); raw workbook kept local for size, derived summary tracked""]",PANNUSCH-PRIOR-IMPACT-001,"[""EWP_INLET_PRESSURE_BOUNDARY""]",registered machine-boundary evidence,MATCHED_BUT_DATA_UNAVAILABLE,RELEVANT_BYTES_OR_INTERFACE_AUTHORITY_UNAVAILABLE,1
ribes2020,AVAILABLE_DATA_REGISTER:RIBES2020,"[""ribes2020/radial_ey""]","[""source_material"", ""chemistry""]","[""qualitative secondary target for a future radial bed_dynamics/extraction variant (reproduce outer/center ratio sign structure); G9 outlet-boundary context""]",PACKAGED_IN_REPOSITORY,"[""S. Ribes 2020 slide deck (Decent community); no DOI, not peer-reviewed""]",PANNUSCH-PRIOR-IMPACT-001,"[""EWP_INLET_PRESSURE_BOUNDARY""]",registered espresso process pressure-flow context,MATCHED_CONTEXT_OR_OPERATOR_ONLY,NO_QUALIFIED_MACHINE_BOUNDARY_TRANSFER,0
ribes2021,AVAILABLE_DATA_REGISTER:RIBES2021,"[""ribes2021/radial_ey""]","[""source_material"", ""chemistry""]","[""qualitative secondary target (outer deficit + contact-screen flattening); corroborates ribes2020/pocketscience2024""]",PACKAGED_IN_REPOSITORY,"[""S. Ribes 2021 slide deck (Decent community); no DOI, not peer-reviewed""]",PANNUSCH-PRIOR-IMPACT-001,[],"explicit review of registered stages, strongest-current-use, dataset identity, and register limitations found no definition-preserving mapping to a frozen canonical EWP quantity",EXCLUDED_NO_MATCHING_CANONICAL_QUANTITY,REVIEWED_NO_CANONICAL_MAPPING_AFTER_EXACT_REGISTER_AND_SOURCE_CARD_SCREEN,0
romancorrochano2015,AVAILABLE_DATA_REGISTER:ROMANCORROCHANO2015,"[""romancorrochano2015/table2""]","[""extraction"", ""chemistry""]","[""tamped-permeability data for wadsworth2026.permeability tamped-reconciliation (G9/P4); supersedes the thesis Table 6.1 transcription target""]",PACKAGED_IN_REPOSITORY,"[""Roman-Corrochano et al. 2015 (CC BY 4.0; DOI'd version of record)""]",PANNUSCH-PRIOR-IMPACT-001,"[""EWP_INITIAL_DRY_POROSITY""]",registered bed density evidence,EXCLUDED_REQUIRES_NEW_COMPONENT_INVESTIGATION,DENSITY_TO_POROSITY_BRIDGE_NOT_QUALIFIED,1
romancorrochano2017,AVAILABLE_DATA_REGISTER:ROMANCORROCHANO2017,"[""romancorrochano2017/tamped_kappa"", ""romancorrochano2017/deff_table4_9"", ""romancorrochano2017/partition_K_table4_10"", ""romancorrochano2017/hindrance_table4_8"", ""romancorrochano2017/Db_table3_4"", ""romancorrochano2017/mpe_table5_3"", ""romancorrochano2017/fig5_11_mpe"", ""romancorrochano2017/fig5_13_mpe"", ""romancorrochano2017/fig7_4_espresso"", ""romancorrochano2017/y0_extractable""]","[""extraction"", ""transport""]","[""G9 permeability target; \u00a75.5; permeability card is DATA-ONLY""]",PACKAGED_IN_REPOSITORY,"[""University of Birmingham e-theses (open access; non-commercial research use); no DOI""]",PANNUSCH-PRIOR-IMPACT-001,"[""EWP_INITIAL_DRY_POROSITY"", ""EWP_EFFECTIVE_SATURATED_PERMEABILITY""]",registered density/porosity and hydraulic evidence,MATCHED_BUT_UNQUALIFIED_SUCCESSOR_ONLY,NO_ACCEPTED_EWP_TRANSFER_OR_COMPONENT_QUALIFICATION,1
schmieder2023,AVAILABLE_DATA_REGISTER:SCHMIEDER2023,"[""schmieder2023/kinetics_fit_params_avg"", ""schmieder2023/kinetics_fit_params_reps"", ""schmieder2023/cup_masses"", ""schmieder2023/raw_fractions"", ""schmieder2023/rsm_coefficients""]","[""extraction"", ""chemistry""]","[""RC-4 / item 1.8a: reproduce fit c0,lambda (post-fit); liang/cameron ceiling context""]",PACKAGED_IN_REPOSITORY,"[""open access CC-BY (Foods 12,2871; DOI 10.3390/foods12152871)""]",PANNUSCH-PRIOR-IMPACT-001,[],"explicit review of registered stages, strongest-current-use, dataset identity, and register limitations found no definition-preserving mapping to a frozen canonical EWP quantity",EXCLUDED_NO_MATCHING_CANONICAL_QUANTITY,REVIEWED_NO_CANONICAL_MAPPING_AFTER_EXACT_REGISTER_AND_SOURCE_CARD_SCREEN,0
schulman2011,AVAILABLE_DATA_REGISTER:SCHULMAN2011,"[""schulman2011/basket_geometry""]","[""extraction"", ""chemistry""]","[""G9 screen-resistance [RS] orifice/Poiseuille construction""]",PACKAGED_IN_REPOSITORY,"[""Schulman, Home-Barista.com (2011); non-peer-reviewed; no DOI""]",PANNUSCH-PRIOR-IMPACT-001,"[""EWP_FIXED_HYDRAULIC_RESISTANCE_FORM""]",registered porous-flow model context,EXCLUDED_REQUIRES_NEW_COMPONENT_INVESTIGATION,NO_ALREADY_QUALIFIED_EWP_COMPONENT_MAPPING,0
smrke2024,AVAILABLE_DATA_REGISTER:SMRKE2024,"[""smrke2024/figures""]","[""source_material"", ""extraction""]","[""consumer gate target: an extraction config at 20 g/40 g/9 bar lands its (EY, t_shot) on the Fig 3 curve within scatter; Fig S1 is a second-machine flow-profile complement to DE1 fixture A""]",PACKAGED_IN_REPOSITORY,"[""Smrke et al. 2024, Scientific Reports (CC BY 4.0); DOI 10.1038/s41598-024-55831-x; raw on request from S. Smrke""]",PANNUSCH-PRIOR-IMPACT-001,"[""EWP_INLET_PRESSURE_BOUNDARY""]",registered espresso machine/process context,MATCHED_CONTEXT_OR_OPERATOR_ONLY,CONTEXT_DOES_NOT DEFINE_AN_EWP_BOUNDARY,0
sobolik2002,AVAILABLE_DATA_REGISTER:SOBOLIK2002,"[""sobolik2002/rheology""]","[""rheology"", ""thermal""]","[""third independent liquor-viscosity source for gap G10 (adjudicate the ~40-55% telisromero/khomyakov offset); mu(omega,T) data for flow-coupling sensitivity""]",PACKAGED_IN_REPOSITORY,"[""Sobolik et al. 2002, Journal of Food Engineering 51:93-98 (Elsevier); PII S0260-8774(01)00042-5; digitized/computed by Puckworks""]",PANNUSCH-PRIOR-IMPACT-001,"[""EWP_EFFECTIVE_SATURATED_PERMEABILITY""]",registered packed-bed pressure-flow context,MATCHED_STRESS_OR_SHAPE_ONLY,NONCOFFEE_SYSTEM_HAS_NO_QUALIFIED_MAGNITUDE_TRANSFER,0
telisromero2001,SOURCE_CARD:docs/cards/telisromero2001.md;PROVENANCE:puckworks/data/telisromero2001/PROVENANCE.md;G10_LINK:AVAILABLE_DATA_REGISTER:G10_LIQUOR_RHEOLOGY,"[""g10_liquor_rheology/telisromero2001_closures"", ""g10_liquor_rheology/telisromero2001_tables""]","[""rheology"", ""thermal""]","[""RHEOLOGY_OR_VISCOSITY_SOURCE_AUTHORITY_FOR_BOUNDED_FLUID_PROPERTY_SENSITIVITY""]",RIGHTS_BOUNDED_COMPACT_TRANSCRIPTION_NO_RAW_ARTICLE,"[""paywalled Wiley article; compact normalized factual transcriptions only; no article PDF or raw rheograms redistributed""]",PANNUSCH-PRIOR-IMPACT-001,[],"explicit review of registered stages, strongest-current-use, dataset identity, and register limitations found no definition-preserving mapping to a frozen canonical EWP quantity",EXCLUDED_NO_MATCHING_CANONICAL_QUANTITY,REVIEWED_NO_CANONICAL_MAPPING_AFTER_EXACT_REGISTER_AND_SOURCE_CARD_SCREEN,0
